Importo;Importo Scontato;Imponibile;Imposta; Iva % ;Sconto %;Valore sconto;TipoDocumento;sep;Importo;Importo Scontato;Imponibile;Imposta; Iva % ;Sconto %;Valore sconto;TipoDocumento;;Contante;eletronico;credito;totale;resto;;;4;10;22;N1;N2;N3;N4;N5;N6;;4;10;22;N1;N2;N3;N4;N5;N6;;4;10;22;N1;N2;N3;N4;N5;N6
160,65;150;122,95;27,05;22;6,63;10,65;DC;0;50;50;48,08;1,92;4;0;0;DC;;0;0;0;;;;;50;0;150;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;200;171,03;28,97;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;150;35;15;200;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
160,65;150;122,95;27,05;22;6,63;10,65;ADC;0;50;50;48,08;1,92;4;0;0;ADC;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;50;0;150;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;200;171,03;28,97;0;0;0;TOTALE;"5;1";0;0;0;0;0;0;0;0;;24;56;120;200;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
47;42,3;0;0;N1;10;4,7;DC;0;47,78;40,61;0;0;N2;15;7,17;DC;;0;0;0;0;0;;;0;0;0;42,3;40,61;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;82,91;0;0;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;22,91;20;40;82,91;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
1;1;0;0;N3;0;0;DC;0;5;5;4,55;0,45;10;0;0;DC;;0;0;0;0;0;;;0;5;0;0;0;1;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;6;4,55;0,45;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;4;1;1;6;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
55;49,5;0;0;N4;10;5,5;DC;0;160;136;0;0;N5;15;24;DC;;0;0;0;0;0;;;0;0;0;0;0;0;49,5;136;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;185,5;0;0;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;120;55;10,5;185,5;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
47;42,3;0;0;N1;10;4,7;RDC;0;47,78;40,61;0;0;N2;15;7,17;RDC;;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;42,3;40,61;0;0;0;0
0;82,91;0;0;0;0;0;TOTALE;"3;3";0;0;0;0;0;0;0;0;;5,91;33;44;82,91;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0,05;0,05;0,05;0;10;0;0;DC;0;71,51;64,36;61,88;2,48;4;10;7,15;DC;;0;0;0;0;0;;;64,36;0,05;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;64,41;61,93;2,48;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;29,41;30;5;64,41;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0,05;0,05;0,05;0;10;0;0;DC;0;47,45;42,7;0;0;N6;10;4,75;DC;;0;0;0;0;0;;;0;0,05;0;0;0;0;0;0;42,7;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;42,75;0,05;0;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;33;6;3,75;42,75;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0,05;0,05;0,05;0;10;0;0;DC;0;5,55;5,55;4,55;1;22;0;0;DC;;0;0;0;0;0;;;0;0,05;5,55;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;5,6;4,6;1;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;0,6;3;2;5,6;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0,05;0,05;0,05;0;10;0;0;DC;0;1,5;1,5;0;0;N6;0;0;DC;;0;0;0;0;0;;;0;0,05;0;0;0;0;0;0;1,5;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;1,55;0,05;0;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;1;0,05;0,5;1,55;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0,05;0,05;0;0;N5;0;0;DC;0;1,5;1,5;0;0;N6;0;0;DC;;0;0;0;0;0;;;0;0;0;0;0;0;0;0,05;1,5;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
0;1,55;0;0;0;0;0;TOTALE;0;0;0;0;0;0;0;0;0;;0,15;0,4;1;1,55;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0
